imdb_id,popularity,budget,revenue,title,runtime,release_date
tt2554274,1.345982,55000000,74679822,Crimson Peak,119,10/13/2015
tt1945084,1.342839,0,0,Everly,90,1/23/2015
tt2268016,1.338481,14800000,122413057,Magic Mike XXL,115,7/1/2015
tt2473510,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,88,10/21/2015
tt3205376,1.329702,0,229094,Slow West,84,4/16/2015
tt3203606,1.316239,15000000,8235661,Trumbo,124,10/27/2015
tt1741273,1.315266,19500000,32189727,Secret in Their Eyes,111,10/14/2015
tt2872462,1.29314,0,2500431,Mistress America,84,8/14/2015
tt2279373,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,93,2/5/2015
tt2273657,1.284541,0,4719695,True Story,100,4/17/2015
tt3369806,1.278928,20000000,43967255,Max,111,6/26/2015
tt2872750,1.25358,0,59700000,Shaun the Sheep Movie,85,2/5/2015
tt2217859,1.251681,11000000,0,Louder Than Bombs,109,5/18/2015
tt3577624,1.245224,0,1702433,A Perfect Day,106,8/28/2015
tt2515034,1.225325,40000000,10664749,The Gunman,115,2/16/2015
tt3713166,1.191138,1000000,62882090,Unfriended,82,4/17/2015
tt2967224,1.178831,35000000,51680201,Hot Pursuit,87,5/8/2015
tt3195644,1.164724,10000000,104303851,Insidious: Chapter 3,97,6/4/2015
tt1598642,1.161812,0,118483,Z for Zachariah,97,8/13/2015
tt3829170,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,97,2/24/2015
tt3722070,1.142518,6000000,41387687,The Lady in the Van,104,11/13/2015
tt1976009,1.138395,40000000,34227298,Victor Frankenstein,109,11/10/2015
tt3532278,1.128081,0,0,Brothers of the Wind,98,12/24/2015
tt2401878,1.125239,8000000,3759286,Anomalisa,90,12/30/2015
tt2494362,1.073349,1800000,0,Bone Tomahawk,132,10/23/2015
tt3319920,1.065888,0,17671101,Regression,106,10/1/2015
tt1596345,1.063055,0,0,Pawn Sacrifice,114,9/16/2015
tt0787524,1.046518,0,11472454,The Man Who Knew Infinity,108,9/17/2015
tt3181776,1.041922,20000000,0,Momentum,96,8/1/2015
tt3172532,1.03839,2000000,1477002,The Diary of a Teenage Girl,102,8/7/2015
tt3733778,1.036825,0,0,Pay the Ghost,94,9/16/2015
tt1567437,1.02762,0,0,The Voices,101,2/6/2015
tt2493486,1.021441,0,3643591,Last Knights,115,4/3/2015
tt3278330,1.008474,12000000,0,Il racconto dei racconti,125,5/14/2015
tt3715320,1.007054,11000000,27391084,Irrational Man,95,7/17/2015
tt1837636,0.973316,15000000,0,Queen of the Desert,128,9/3/2015
tt3623726,0.956096,18000000,41325328,Ricki and the Flash,100,7/10/2015
tt2245003,0.953647,0,0,Miss You Already,112,9/12/2015
tt3472226,0.953046,630019,0,Kung Fury,31,5/28/2015
tt3862750,0.950793,12000000,60273173,The Perfect Guy,100,9/11/2015
tt2056771,0.938432,0,1936524,A Bigger Splash,120,11/26/2015
tt1791682,0.93762,10000000,7587485,While We're Young,97,3/27/2015
tt2561572,0.927339,40000000,106511453,Get Hard,100,3/26/2015
tt2917388,0.91704,0,0,Kidnapping Mr. Heineken,95,3/12/2015
tt2479478,0.913085,60000000,0,The Ridiculous 6,119,12/11/2015
tt2393845,0.90686,0,0,Kill Me Three Times,90,4/10/2015
tt2006295,0.906036,25000000,24902723,The 33,120,8/6/2015
tt3077214,0.898295999999999,14000000,16002420,Suffragette,106,10/16/2015
tt3544082,0.894477,0,0,45 Years,95,8/28/2015
tt3787590,0.880937999999999,6000000,11122090,We Are Your Friends,96,8/26/2015
tt1731701,0.880268,0,6075,Barely Lethal,96,4/30/2015
tt2884018,0.874641,0,13192457,Macbeth,113,8/16/2015
tt4382872,0.872149,0,16775,Extraction,83,12/18/2015
tt3289712,0.861179,0,0,Jenny's Wedding,94,7/31/2015
tt3440298,0.848748,0,0,Descendants,112,7/31/2015
tt2338424,0.843174,0,0,Tumbledown,105,4/18/2015
tt2935476,0.842202,0,30229977,Far from the Madding Crowd,119,5/1/2015
tt3416744,0.836940999999999,0,3002884,The End of the Tour,106,7/31/2015
tt2555736,0.832487,10000000,85978266,The Second Best Exotic Marigold Hotel,122,2/26/2015
tt1810683,0.829111,20000000,6420319,Little Boy,106,4/23/2015
tt4189260,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,48,2/10/2015
tt3704050,0.820691,0,1986615,Remember,94,10/23/2015
tt1243974,0.814206,37000000,26250020,Aloha,105,5/27/2015
tt1137470,0.813893,26000000,0,Accidental Love,100,2/10/2015
tt4856322,0.810667,0,0,Halo: The Fall of Reach,67,10/27/2015
tt1018765,0.795762,28000000,7002261,Our Brand Is Crisis,108,9/11/2015
tt2625810,0.792471,0,0,Into the Forest,101,6/3/2015
tt2400463,0.787968999999999,0,231737,The Invitation,100,3/13/2015
tt3165630,0.781809,0,0,The Benefactor,90,4/17/2015
tt4938374,0.773909,0,0,Open Season: Scared Silly,85,12/31/2015
tt3813310,0.77107,0,134552,Cop Car,86,8/7/2015
tt2322517,0.768138,0,0,Mojave,93,4/18/2015
tt3165612,0.758133,0,3214116,Sleeping with Other People,100,6/26/2015
tt2271563,0.747541,11000000,0,Forsaken,90,9/16/2015
tt2870648,0.738404,0,8413144,Amy,128,7/3/2015
tt2334733,0.7299,0,0,Madame Bovary,118,6/4/2015
tt2474976,0.719407,0,0,The Hallow,97,11/6/2015
tt4215332,0.714131,0,0,Barbie in Princess Power,74,1/29/2015
tt2393827,0.707355,0,0,Howl,89,10/1/2015
tt1658801,0.706023,7000000,573335,Freeheld,103,10/2/2015
tt3064298,0.701369999999999,0,0,Man Up,88,5/29/2015
tt3774694,0.699932,3000000,695269,Love,134,7/6/2015
tt3859076,0.69957,9600000,2541554,Truth,121,9/12/2015
tt2948790,0.696184,0,0,Return to Sender,95,5/31/2015
tt1772288,0.690479,10000000,10835752,Danny Collins,107,3/20/2015
tt3164256,0.689578999999999,15000000,3020664,Rock the Kasbah,100,10/22/2015
tt2582502,0.689571,2240000,0,Fathers and Daughters,116,10/1/2015
tt3766394,0.673792,1000000,14444999,"Hello, My Name Is Doris",95,11/27/2015
tt1524575,0.669351,13000000,1784763,The Vatican Tapes,91,7/24/2015
tt2891174,0.661471,8000000,1411927,99 Homes,112,9/25/2015
tt2637294,0.661163,14000000,12314651,Hot Tub Time Machine 2,93,2/20/2015
tt2101383,0.654335,0,0,Knight of Cups,118,9/10/2015
tt2893490,0.654046,4000000,143101,Manglehorn,97,6/3/2015
tt2349144,0.649628,0,0,Mississippi Grind,108,7/4/2015
tt3774790,0.644786,0,0,400 Days,91,10/29/2015
tt3824386,0.640151,0,0,Lava,7,6/19/2015
tt2091478,0.638556999999999,0,0,Air,94,8/14/2015
tt4642044,0.633608,0,0,Riot,88,9/27/2015
tt3661298,0.629560999999999,0,0,Septembers of Shiraz,110,9/15/2015
tt1707380,0.607124,0,8034,Every Thing Will Be Fine,118,4/2/2015
tt3467412,0.606113,0,0,Extinction,110,8/7/2015
tt2815902,0.604928,0,0,The Childhood of a Leader,116,9/2/2015
tt1178665,0.602165,8000000,35991087,A Walk in the Woods,104,9/2/2015
tt1780798,0.599751,0,0,Clown,100,3/2/2015
tt2918436,0.599655,3300000,64110728,The Lazarus Effect,83,1/29/2015
tt4324274,0.589472,0,0,Batman vs. Robin,72,4/14/2015
tt1629242,0.586735,8000000,0,Careful What You Wish For,91,5/6/2015
tt1618448,0.584363,0,0,Racing Extinction,90,1/24/2015
tt2358925,0.577814,35000000,14431253,Unfinished Business,90,3/5/2015
tt2366608,0.570743999999999,2000000,45431,Lost River,95,4/8/2015
tt4229236,0.569443,0,0,Cobain: Montage of Heck,132,3/23/2015
tt4034452,0.561032,0,0,Hyena Road,120,10/9/2015
tt3687310,0.560743999999999,7000000,0,Criminal Activities,94,11/20/2015
tt2948840,0.560423,12000000,0,Life,112,7/24/2015
tt2097298,0.553238,0,45710059,"McFarland, USA",128,2/20/2015
tt2784936,0.548586999999999,0,0,Backtrack,90,7/25/2015
tt3149038,0.547827,0,0,X+Y,111,3/13/2015
tt2802136,0.546458,3000000,0,Home Sweet Hell,98,3/13/2015
tt3411432,0.542568,6000000,0,Ooops! Noah is Gone...,85,4/9/2015
tt4229298,0.5327,0,0,The Unspoken,90,10/24/2015
tt4382552,0.532239,0,0,Hot Girls Wanted,84,5/29/2015
tt2309260,0.532205,100000,42664410,The Gallows,87,7/10/2015
tt3194590,0.52985,0,0,Dirty Weekend,93,9/4/2015
tt4530884,0.527957,0,0,I Spit on Your Grave III: Vengeance is Mine,91,10/9/2015
tt3726704,0.526642,0,0,Experimenter,97,10/16/2015
tt3707106,0.524315,10000000,3334927,By the Sea,122,11/12/2015
tt4183692,0.52025,0,0,Woodlawn,123,10/16/2015
tt4472596,0.516954,0,0,The Hollow,90,10/24/2015
tt2954474,0.515401,0,0,Visions,80,8/28/2015
tt2433040,0.514735,0,1236094,Beyond the Mask,103,4/6/2015
tt3004746,0.513386,0,0,I Am Here,97,6/12/2015
tt4442130,0.50732,0,0,Wild Horses,100,6/5/2015
tt3029476,0.504827999999999,0,0,Pressure,91,6/4/2015
tt2131532,0.502489,0,0,Hidden,83,9/15/2015
tt2141773,0.497265,0,157768,Hell & Back,86,10/2/2015
tt2145829,0.486351,21000000,0,Robot Overlords,90,1/29/2015
tt3625152,0.482422,0,0,The Man with the Iron Fists 2,90,3/10/2015
tt4938416,0.47784,0,0,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,67,8/25/2015
tt5133572,0.476341,0,0,Crown for Christmas,84,11/27/2015
tt3233418,0.475473,0,0,Spare Parts,83,1/16/2015
tt2420166,0.474788,0,0,The World Made Straight,119,1/9/2015
tt2965466,0.474626,0,0,Last Shift,88,10/6/2015
tt4086032,0.473344,0,0,Frankenstein,89,11/3/2015
tt4126304,0.471393,0,0,Cartel Land,100,7/3/2015
tt2933474,0.471091,20000000,0,Superfast!,99,3/5/2015
tt2718440,0.470991,0,0,Moonwalkers,107,3/14/2015
